,rra_id,rra_playerId,rra_dateAt,rra_partnerId,rra_brandId,rra_campaignId,rra_playerCountry,rra_registrationsCount,rra_depositsCount,firstDepositsSumEur,depositsSumEur,c_registrationDateAt,c_gender,c_age
187832,299367785454192961,5378713,2020-09-05 03:00:00,86443,102,95483,NL,1,1,100.0,100.0,2020-09-05 04:34:24,m,38.0
187833,249467784815541631,5382068,2020-09-14 03:00:00,86443,102,95483,NL,0,0,0.0,0.0,2020-09-05 12:24:02,m,26.0
187834,299367785454192963,5382068,2020-09-05 03:00:00,86443,102,95483,NL,1,1,100.0,100.0,2020-09-05 12:24:02,m,26.0
187835,299377785445540906,5382068,2020-09-06 03:00:00,86443,102,95483,NL,0,0,0.0,0.0,2020-09-05 12:24:02,m,26.0
187836,299367785454192964,5386559,2020-09-05 03:00:00,86443,102,95483,NL,1,1,100.0,100.0,2020-09-05 22:07:05,m,30.0
187837,299387785437550662,5386559,2020-09-07 03:00:00,86443,102,95483,NL,0,2,0.0,600.0,2020-09-05 22:07:05,m,30.0
187847,299367785455622624,5380188,2020-09-05 03:00:00,86522,99,97793,CA,1,1,32.33,32.33,2020-09-05 08:02:26,f,27.0
187854,299367785455622649,5368865,2020-09-05 03:00:00,86522,99,95900,AU,0,1,12.3,12.3,2020-09-04 04:05:50,m,31.0
187855,299367785455622662,5379845,2020-09-05 03:00:00,86522,99,95900,AU,1,1,30.75,30.75,2020-09-05 07:25:30,f,19.0
187856,249467784816298206,5383681,2020-09-13 03:00:00,86522,99,95900,AU,0,0,0.0,0.0,2020-09-05 16:10:46,m,19.0
187857,299367785456947313,5383681,2020-09-05 03:00:00,86522,99,95900,AU,1,2,15.38,30.75,2020-09-05 16:10:46,m,19.0
187858,299367785456947315,5383693,2020-09-05 03:00:00,86522,99,95900,AU,1,10,30.75,369.01,2020-09-05 16:18:07,m,19.0
187859,299377785446910876,5383693,2020-09-06 03:00:00,86522,99,95900,AU,0,0,0.0,0.0,2020-09-05 16:18:07,m,19.0
187860,299397785455852263,5383693,2020-09-08 03:00:00,86522,99,95900,AU,0,1,0.0,15.31,2020-09-05 16:18:07,m,19.0
187861,299417785425700965,5383693,2020-09-10 03:00:00,86522,99,95900,AU,0,1,0.0,15.35,2020-09-05 16:18:07,m,19.0
187862,299437785395884114,5383693,2020-09-12 03:00:00,86522,99,95900,AU,0,1,0.0,30.74,2020-09-05 16:18:07,m,19.0
187863,299367785456947331,5384558,2020-09-05 03:00:00,86522,99,95900,AU,1,1,15.38,15.38,2020-09-05 18:02:46,f,26.0
187864,121362763217787572,5385837,2020-11-08 03:00:00,86522,99,95900,AU,0,3,0.0,91.69,2020-09-05 21:23:28,f,27.0
187865,159755409364729439,5385837,2020-12-07 03:00:00,86522,99,95900,AU,0,1,0.0,18.32,2020-09-05 21:23:28,f,27.0
187866,160143299244632671,5385837,2020-11-14 03:00:00,86522,99,95900,AU,0,3,0.0,79.75,2020-09-05 21:23:28,f,27.0
187867,203983269007972164,5385837,2020-11-13 03:00:00,86522,99,95900,AU,0,1,0.0,18.4,2020-09-05 21:23:28,f,27.0
187868,299367785456947344,5385837,2020-09-05 03:00:00,86522,99,95900,AU,1,1,30.75,30.75,2020-09-05 21:23:28,f,27.0
187875,299367785461076308,5385528,2020-09-05 03:00:00,87099,102,99962,FI,1,1,100.0,100.0,2020-09-05 20:32:05,m,37.0
187878,141152589539129933,5355900,2020-11-06 03:00:00,87328,99,97000,CA,0,1,0.0,64.41,2020-09-02 23:14:20,f,48.0
187879,141239777333864913,5355900,2020-10-06 03:00:00,87328,99,97000,CA,0,1,0.0,63.95,2020-09-02 23:14:20,f,48.0
187880,157843589916822231,5355900,2020-11-17 03:00:00,87328,99,97000,CA,0,1,0.0,64.27,2020-09-02 23:14:20,f,48.0
187881,165048603353026051,5355900,2020-09-23 03:00:00,87328,99,97000,CA,0,0,0.0,0.0,2020-09-02 23:14:20,f,48.0
187882,202892310228141536,5355900,2020-11-03 03:00:00,87328,99,97000,CA,0,4,0.0,298.99,2020-09-02 23:14:20,f,48.0
187883,221358501409042485,5355900,2020-09-22 03:00:00,87328,99,97000,CA,0,4,0.0,256.28,2020-09-02 23:14:20,f,48.0
187884,232207977367489669,5355900,2020-09-16 03:00:00,87328,99,97000,CA,0,2,0.0,128.54,2020-09-02 23:14:20,f,48.0
187885,241615130060966823,5355900,2020-12-04 03:00:00,87328,99,97000,CA,0,1,0.0,63.97,2020-09-02 23:14:20,f,48.0
187886,280466470137367868,5355900,2020-12-19 03:00:00,87328,99,97000,CA,0,0,0.0,0.0,2020-09-02 23:14:20,f,48.0
187887,299367785495963720,5355900,2020-09-05 03:00:00,87328,99,97000,CA,0,3,64.66,193.97,2020-09-02 23:14:20,f,48.0
187888,299397785485464782,5355900,2020-09-08 03:00:00,87328,99,97000,CA,0,4,0.0,275.97,2020-09-02 23:14:20,f,48.0
187889,299407785470889232,5355900,2020-09-09 03:00:00,87328,99,97000,CA,0,5,0.0,370.33,2020-09-02 23:14:20,f,48.0
187890,299427785451232381,5355900,2020-09-11 03:00:00,87328,99,97000,CA,0,2,0.0,128.1,2020-09-02 23:14:20,f,48.0
187891,315652415907376222,5355900,2020-11-04 03:00:00,87328,99,97000,CA,0,0,0.0,0.0,2020-09-02 23:14:20,f,48.0
187892,797709711947711948,5355900,2020-10-05 03:00:00,87328,99,97000,CA,0,1,0.0,63.96,2020-09-02 23:14:20,f,48.0
187893,299367785495963723,5367650,2020-09-05 03:00:00,87328,99,97000,CA,0,2,32.33,64.66,2020-09-04 01:50:29,f,27.0
187900,299367785498162096,5383421,2020-09-05 03:00:00,87336,102,97531,DE,1,3,25.0,100.0,2020-09-05 15:46:21,m,27.0
187901,299377785484060970,5383421,2020-09-06 03:00:00,87336,102,97531,DE,0,2,0.0,55.0,2020-09-05 15:46:21,m,27.0
187902,299387785476635380,5383421,2020-09-07 03:00:00,87336,102,97531,DE,0,2,0.0,100.0,2020-09-05 15:46:21,m,27.0
187903,299417785457654132,5383421,2020-09-10 03:00:00,87336,102,97531,DE,0,1,0.0,50.0,2020-09-05 15:46:21,m,27.0
187904,299427785452387601,5383421,2020-09-11 03:00:00,87336,102,97531,DE,0,3,0.0,100.0,2020-09-05 15:46:21,m,27.0
187905,190548358712625025,5381248,2020-09-20 03:00:00,87336,102,97531,LU,0,1,0.0,25.0,2020-09-05 10:56:52,m,23.0
187906,299367785498162099,5381248,2020-09-05 03:00:00,87336,102,97531,LU,1,1,50.0,50.0,2020-09-05 10:56:52,m,23.0
187907,299377785482923721,5381248,2020-09-06 03:00:00,87336,102,97531,LU,0,0,0.0,0.0,2020-09-05 10:56:52,m,23.0
187908,299387785476635391,5381248,2020-09-07 03:00:00,87336,102,97531,LU,0,1,0.0,25.0,2020-09-05 10:56:52,m,23.0
